date,time,datetime,id,minutes
6/16/15,9:25 am,2015-06-16T09:25:00,2013,7
6/16/15,4:35 pm,2015-06-16T16:35:00,1632,28
6/16/15,5:23 pm,2015-06-16T17:23:00,1074,73
6/17/15,6:44 am,2015-06-17T06:44:00,1801,11
6/17/15,7:30 am,2015-06-17T07:30:00,1074,65
6/18/15,12:00 am,2015-06-18T00:00:00,1125,7
6/18/15,5:50 am,2015-06-18T05:50:00,1642,7
6/18/15,6:44 am,2015-06-18T06:44:00,1801,14
6/18/15,6:44 am,2015-06-18T06:44:00,1801,30
6/18/15,6:44 am,2015-06-18T06:44:00,1801,7
6/18/15,7:20 am,2015-06-18T07:20:00,1814,2
6/18/15,7:44 am,2015-06-18T07:44:00,1055,8
6/18/15,9:40 am,2015-06-18T09:40:00,1060,4
6/18/15,10:29 am,2015-06-18T10:29:00,2036,7
6/18/15,5:20 pm,2015-06-18T17:20:00,1520,0
6/18/15,5:35 pm,2015-06-18T17:35:00,1646,6
6/18/15,7:20 pm,2015-06-18T19:20:00,010,6
6/19/15,7:15 am,2015-06-19T07:15:00,1809,50
6/19/15,7:15 am,2015-06-19T07:15:00,1052,16
6/19/15,12:20 pm,2015-06-19T12:20:00,2012,17
6/19/15,6:10 pm,2015-06-19T18:10:00,2030,18
6/19/15,6:20 pm,2015-06-19T18:20:00,1074,9
6/20/15,3:35 pm,2015-06-20T15:35:00,1034,8
6/21/15,11:20 am,2015-06-21T11:20:00,1034,3
6/21/15,10:40 pm,2015-06-21T22:40:00,1116,7
6/22/15,5:05 am,2015-06-22T05:05:00,2033,13
6/22/15,5:22 am,2015-06-22T05:22:00,1819,4
6/22/15,5:22 am,2015-06-22T05:22:00,1127,3
6/22/15,5:58 am,2015-06-22T05:58:00,1034,5
6/22/15,6:30 am,2015-06-22T06:30:00,1063,9
6/22/15,7:15 am,2015-06-22T07:15:00,1069,64
6/22/15,7:22 am,2015-06-22T07:22:00,1122,7
6/22/15,10:35 am,2015-06-22T10:35:00,1074,32
6/22/15,10:45 am,2015-06-22T10:45:00,1129,6
6/22/15,3:55 pm,2015-06-22T15:55:00,1816,65
6/22/15,5:05 pm,2015-06-22T17:05:00,1120,27
6/23/15,6:30 am,2015-06-23T06:30:00,1069,48
6/23/15,7:03 am,2015-06-23T07:03:00,2013,10
6/23/15,7:30 am,2015-06-23T07:30:00,1036,4
6/23/15,7:53 am,2015-06-23T07:53:00,1068,6
6/23/15,3:00 pm,2015-06-23T15:00:00,1054,4
6/23/15,3:00 pm,2015-06-23T15:00:00,1054,4
6/23/15,3:00 pm,2015-06-23T15:00:00,1054,10
6/23/15,5:30 pm,2015-06-23T17:30:00,1052,22
6/23/15,7:39 pm,2015-06-23T19:39:00,2033,9
6/23/15,9:40 pm,2015-06-23T21:40:00,1053,26
6/24/15,5:45 am,2015-06-24T05:45:00,1052,45
6/24/15,5:45 am,2015-06-24T05:45:00,1052,0
6/24/15,7:20 am,2015-06-24T07:20:00,1714,4
6/24/15,7:37 am,2015-06-24T07:37:00,1129,29
6/24/15,9:40 am,2015-06-24T09:40:00,1826,7
6/24/15,5:10 pm,2015-06-24T17:10:00,1032,8
6/24/15,5:35 pm,2015-06-24T17:35:00,2033,5
6/24/15,8:07 pm,2015-06-24T20:07:00,1059,10
6/25/15,12:10 am,2015-06-25T00:10:00,1125,3
6/25/15,5:35 am,2015-06-25T05:35:00,1135,25
6/25/15,10:40 am,2015-06-25T10:40:00,1821,8
6/25/15,4:20 pm,2015-06-25T16:20:00,1129,12
6/26/15,5:25 pm,2015-06-26T17:25:00,1604,37
6/26/15,7:52 pm,2015-06-26T19:52:00,1122,11
6/26/15,8:50 pm,2015-06-26T20:50:00,222,4
6/27/15,6:50 am,2015-06-27T06:50:00,1068,0
6/27/15,11:25 am,2015-06-27T11:25:00,1122,12
6/28/15,11:31 am,2015-06-28T11:31:00,1025,20
6/28/15,11:40 am,2015-06-28T11:40:00,2020,20
6/28/15,1:30 pm,2015-06-28T13:30:00,1058,92
6/28/15,1:30 pm,2015-06-28T13:30:00,1058,0
6/28/15,6:20 pm,2015-06-28T18:20:00,1122,15
6/28/15,7:20 pm,2015-06-28T19:20:00,2029,168
6/29/15,7:03 am,2015-06-29T07:03:00,1117,3
6/29/15,11:00 am,2015-06-29T11:00:00,1121,4
6/29/15,2:45 pm,2015-06-29T14:45:00,1065,15
6/29/15,4:20 pm,2015-06-29T16:20:00,1129,9
6/29/15,5:15 pm,2015-06-29T17:15:00,1036,24
6/29/15,5:50 pm,2015-06-29T17:50:00,1052,8
6/29/15,9:25 pm,2015-06-29T21:25:00,1055,43
6/30/15,5:07 am,2015-06-30T05:07:00,1821,8
6/30/15,7:03 am,2015-06-30T07:03:00,904L,6
6/30/15,7:37 am,2015-06-30T07:37:00,1122,4
6/30/15,12:55 pm,2015-06-30T12:55:00,1034,0
6/30/15,3:55 pm,2015-06-30T15:55:00,1705,0
7/1/15,9:57 am,2015-07-01T09:57:00,1025,26
7/1/15,12:15 pm,2015-07-01T12:15:00,1638,10
7/1/15,12:52 pm,2015-07-01T12:52:00,929,8
7/1/15,5:40 pm,2015-07-01T17:40:00,2038,86
7/1/15,5:40 pm,2015-07-01T17:40:00,2038,86
7/1/15,6:20 pm,2015-07-01T18:20:00,2038,0
7/2/15,7:11 am,2015-07-02T07:11:00,2013,7
7/2/15,7:11 am,2015-07-02T07:11:00,2013,7
7/2/15,12:00 pm,2015-07-02T12:00:00,1053,4
7/2/15,5:40 pm,2015-07-02T17:40:00,2032,10
7/3/15,5:19 pm,2015-07-03T17:19:00,1074,7
7/4/15,12:00 am,2015-07-04T00:00:00,1074,0
7/4/15,9:10 pm,2015-07-04T21:10:00,1707,27
7/6/15,6:51 am,2015-07-06T06:51:00,1033,18
7/6/15,6:55 am,2015-07-06T06:55:00,1125,6
7/6/15,7:43 am,2015-07-06T07:43:00,1528,4
7/6/15,10:35 am,2015-07-06T10:35:00,1627,3
7/6/15,3:23 pm,2015-07-06T15:23:00,2029,79
7/6/15,3:23 pm,2015-07-06T15:23:00,2029,79
7/6/15,3:23 pm,2015-07-06T15:23:00,2029,79
7/6/15,5:12 pm,2015-07-06T17:12:00,1121,45
7/6/15,5:12 pm,2015-07-06T17:12:00,1121,45
7/6/15,5:15 pm,2015-07-06T17:15:00,2004,6
7/6/15,9:30 pm,2015-07-06T21:30:00,2004,7
7/6/15,9:30 pm,2015-07-06T21:30:00,2004,7
7/6/15,9:30 pm,2015-07-06T21:30:00,2004,7
7/6/15,9:30 pm,2015-07-06T21:30:00,2004,7
7/7/15,6:25 am,2015-07-07T06:25:00,2033,6
7/7/15,6:35 am,2015-07-07T06:35:00,1122,6
7/8/15,12:00 am,2015-07-08T00:00:00,1115,25
7/8/15,5:26 am,2015-07-08T05:26:00,2006,9
7/8/15,6:07 am,2015-07-08T06:07:00,1054,11
7/8/15,12:00 pm,2015-07-08T12:00:00,1625,6
7/8/15,12:41 pm,2015-07-08T12:41:00,1025,7
7/8/15,2:10 pm,2015-07-08T14:10:00,1121,10
7/8/15,2:38 pm,2015-07-08T14:38:00,1803,11
7/8/15,3:25 pm,2015-07-08T15:25:00,1121,16
7/8/15,5:40 pm,2015-07-08T17:40:00,011,5
7/8/15,7:00 pm,2015-07-08T19:00:00,1115,5
7/9/15,4:50 am,2015-07-09T04:50:00,1512,8
7/9/15,5:07 am,2015-07-09T05:07:00,1029,2
7/9/15,8:56 am,2015-07-09T08:56:00,2003,0
7/9/15,6:27 pm,2015-07-09T18:27:00,832,6
7/10/15,8:25 am,2015-07-10T08:25:00,1137,17
7/10/15,11:00 am,2015-07-10T11:00:00,1819,5
7/10/15,3:02 pm,2015-07-10T15:02:00,2029,12
7/10/15,3:02 pm,2015-07-10T15:02:00,2029,12
7/10/15,3:02 pm,2015-07-10T15:02:00,2029,12
7/10/15,3:23 pm,2015-07-10T15:23:00,1051,7
7/10/15,4:02 pm,2015-07-10T16:02:00,1034,70
7/10/15,4:02 pm,2015-07-10T16:02:00,1034,0
7/10/15,5:45 pm,2015-07-10T17:45:00,1013,0
7/10/15,7:50 pm,2015-07-10T19:50:00,220,8
7/11/15,7:00 am,2015-07-11T07:00:00,1032,27
7/11/15,2:10 pm,2015-07-11T14:10:00,2037,15
7/11/15,2:10 pm,2015-07-11T14:10:00,2037,15
7/11/15,2:10 pm,2015-07-11T14:10:00,2037,15
7/12/15,11:47 am,2015-07-12T11:47:00,1119,5
7/12/15,9:18 pm,2015-07-12T21:18:00,1128,5
7/13/15,12:10 am,2015-07-13T00:10:00,1713,5
7/13/15,5:50 am,2015-07-13T05:50:00,1705,0
7/13/15,6:46 am,2015-07-13T06:46:00,1826,11
7/13/15,4:15 pm,2015-07-13T16:15:00,1123,39
7/13/15,4:51 pm,2015-07-13T16:51:00,1054,7
7/13/15,6:00 pm,2015-07-13T18:00:00,1713,11
7/13/15,6:10 pm,2015-07-13T18:10:00,746,28
7/13/15,8:10 pm,2015-07-13T20:10:00,1126,5
7/13/15,9:35 pm,2015-07-13T21:35:00,310,65
7/13/15,11:00 pm,2015-07-13T23:00:00,1533,5
7/13/15,11:50 pm,2015-07-13T23:50:00,2021,9
7/13/15,11:50 pm,2015-07-13T23:50:00,2021,9
7/13/15,11:50 pm,2015-07-13T23:50:00,2021,9
7/14/15,7:08 am,2015-07-14T07:08:00,1506,0
7/14/15,7:18 am,2015-07-14T07:18:00,1133,6
7/14/15,5:30 pm,2015-07-14T17:30:00,1134,24
7/15/15,7:15 am,2015-07-15T07:15:00,1642,6
7/15/15,2:40 pm,2015-07-15T14:40:00,1642,3
7/15/15,8:10 pm,2015-07-15T20:10:00,1027,7
7/16/15,7:37 am,2015-07-16T07:37:00,2035,7
7/16/15,7:37 am,2015-07-16T07:37:00,2035,7
7/16/15,7:37 am,2015-07-16T07:37:00,2035,7
7/16/15,5:05 pm,2015-07-16T17:05:00,517,6
7/17/15,6:00 am,2015-07-17T06:00:00,1063,82
7/17/15,6:00 am,2015-07-17T06:00:00,1063,0
7/17/15,7:20 am,2015-07-17T07:20:00,1070,25
7/17/15,2:55 pm,2015-07-17T14:55:00,1066,7
7/17/15,6:10 pm,2015-07-17T18:10:00,1817,6
7/17/15,11:50 pm,2015-07-17T23:50:00,2029,25
7/17/15,11:50 pm,2015-07-17T23:50:00,2029,25
7/17/15,11:50 pm,2015-07-17T23:50:00,2029,25
7/19/15,6:30 pm,2015-07-19T18:30:00,2004,6
7/19/15,6:30 pm,2015-07-19T18:30:00,2004,6
7/19/15,6:30 pm,2015-07-19T18:30:00,2004,6
7/19/15,10:12 pm,2015-07-19T22:12:00,1647,96
7/19/15,10:12 pm,2015-07-19T22:12:00,1647,96
7/20/15,7:37 am,2015-07-20T07:37:00,1061,11
7/20/15,12:25 pm,2015-07-20T12:25:00,1724,9
7/20/15,5:10 pm,2015-07-20T17:10:00,1124,16
7/20/15,5:30 pm,2015-07-20T17:30:00,2035,20
7/20/15,5:30 pm,2015-07-20T17:30:00,2035,20
7/20/15,5:30 pm,2015-07-20T17:30:00,2035,20
7/20/15,6:45 pm,2015-07-20T18:45:00,2036,6
7/20/15,6:45 pm,2015-07-20T18:45:00,2036,6
7/20/15,7:40 pm,2015-07-20T19:40:00,1125,8
7/21/15,6:35 am,2015-07-21T06:35:00,1819,5
7/21/15,9:38 am,2015-07-21T09:38:00,1032,7
7/21/15,12:06 pm,2015-07-21T12:06:00,1032,16
7/21/15,2:40 pm,2015-07-21T14:40:00,1528,4
7/21/15,3:43 pm,2015-07-21T15:43:00,2026,13
7/21/15,3:43 pm,2015-07-21T15:43:00,2026,13
7/21/15,3:43 pm,2015-07-21T15:43:00,2026,13
7/21/15,5:38 pm,2015-07-21T17:38:00,1121,10
7/21/15,5:38 pm,2015-07-21T17:38:00,1121,10
7/22/15,5:25 am,2015-07-22T05:25:00,1129,0
7/22/15,11:10 am,2015-07-22T11:10:00,011,7
7/23/15,12:00 am,2015-07-23T00:00:00,1717,7
7/23/15,4:45 pm,2015-07-23T16:45:00,1116,12
7/23/15,5:27 pm,2015-07-23T17:27:00,1717,27
7/23/15,5:27 pm,2015-07-23T17:27:00,1717,0
7/24/15,1:12 pm,2015-07-24T13:12:00,1117,6
7/25/15,5:10 pm,2015-07-25T17:10:00,844,6
7/25/15,8:20 pm,2015-07-25T20:20:00,2004,23
7/25/15,8:20 pm,2015-07-25T20:20:00,2004,23
7/25/15,8:20 pm,2015-07-25T20:20:00,2004,23
7/26/15,11:05 am,2015-07-26T11:05:00,1055,9
7/26/15,11:05 am,2015-07-26T11:05:00,1055,9
7/26/15,8:20 pm,2015-07-26T20:20:00,1055,37
7/27/15,7:22 am,2015-07-27T07:22:00,1117,5
7/28/15,12:00 am,2015-07-28T00:00:00,1125,10
7/28/15,6:00 am,2015-07-28T06:00:00,1068,4
7/28/15,6:55 am,2015-07-28T06:55:00,1809,7
7/28/15,8:18 am,2015-07-28T08:18:00,1821,17
7/28/15,3:20 pm,2015-07-28T15:20:00,1123,0
7/28/15,5:15 pm,2015-07-28T17:15:00,330,5
7/28/15,8:48 pm,2015-07-28T20:48:00,1060,18
7/29/15,6:30 am,2015-07-29T06:30:00,1809,15
7/29/15,11:50 am,2015-07-29T11:50:00,1060,26
7/29/15,1:05 pm,2015-07-29T13:05:00,1117,10
7/30/15,6:00 am,2015-07-30T06:00:00,1060,10
7/30/15,6:00 am,2015-07-30T06:00:00,1060,10
7/30/15,6:00 am,2015-07-30T06:00:00,1060,54
7/30/15,6:00 am,2015-07-30T06:00:00,1060,0
